file,ERR,V,SV,VS,OV,VO,SVO,SOV,OSV,OVS,VSO,VOS
88,0.0,0.0,0.3333333333333333,0.0,0.05555555555555555,0.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0
278,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
348,0.0,0.0625,0.5,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0
666,0.04,0.0,0.4,0.0,0.0,0.0,0.52,0.0,0.04,0.0,0.0,0.0
733,0.0,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
976,0.15384615384615385,0.0,0.23076923076923078,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0
1612,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0
2024,0.05,0.1,0.5,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
2664,0.08,0.12,0.32,0.0,0.08,0.08,0.32,0.0,0.0,0.0,0.0,0.0
2829,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.0,0.0,0.05555555555555555,0.5,0.0,0.05555555555555555,0.0,0.0,0.0
2991,0.0,0.0625,0.3125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0
3044,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.3684210526315789,0.0,0.10526315789473684,0.0,0.0,0.0
3150,0.14285714285714285,0.0,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
3228,0.0,0.058823529411764705,0.5882352941176471,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,0.058823529411764705,0.0,0.0,0.0
3323,0.0625,0.0,0.125,0.0,0.0,0.0,0.75,0.0,0.0625,0.0,0.0,0.0
3668,0.0,0.21052631578947367,0.21052631578947367,0.0,0.0,0.05263157894736842,0.5263157894736842,0.0,0.0,0.0,0.0,0.0
4009,0.0,0.06666666666666667,0.4666666666666667,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0
4030,0.0,0.045454545454545456,0.6363636363636364,0.0,0.0,0.045454545454545456,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
