# Response ID,Commas/Token,Periods/Token,Semicolons/Token,Colons/Token,Quotes/Token,Question Marks/Token
1000025,0.057569296375266525,0.057569296375266525,0.0021321961620469083,0.0,0.0,0.0
1000168,0.05172413793103448,0.04597701149425287,0.0,0.0,0.0,0.005747126436781609
100021,0.008547008547008548,0.03418803418803419,0.0,0.0,0.0,0.0
1000235,0.02491103202846975,0.021352313167259787,0.0,0.0035587188612099642,0.0,0.0
1000276,0.031609195402298854,0.06321839080459771,0.0,0.0,0.0,0.0
1000392,0.030555555555555555,0.06111111111111111,0.0,0.0,0.0,0.0
1000434,0.03255813953488372,0.05891472868217054,0.0015503875968992248,0.0,0.0,0.0
1000528,0.05732484076433121,0.07006369426751592,0.0,0.0,0.0,0.0
1000545,0.05188679245283019,0.04009433962264151,0.0,0.0,0.0,0.0
1000599,0.02064896755162242,0.06489675516224189,0.0,0.0,0.0,0.0
1000617,0.0056179775280898875,0.0449438202247191,0.0,0.0,0.0,0.0056179775280898875
1000719,0.03508771929824561,0.03216374269005848,0.0,0.0,0.0,0.0
100082,0.0547945205479452,0.0410958904109589,0.0,0.0,0.0,0.0
100101,0.04736842105263158,0.04473684210526316,0.0,0.0,0.0,0.002631578947368421
1001053,0.0,0.0,0.0,0.0,0.0,0.0
1001063,0.0594059405940594,0.09570957095709572,0.0,0.0,0.0,0.0
1001183,0.06333333333333334,0.04666666666666667,0.0,0.0,0.0,0.0
1001213,0.06606606606606606,0.02702702702702703,0.0,0.0,0.0,0.003003003003003003
1001278,0.04589371980676329,0.04589371980676329,0.0024154589371980675,0.0,0.0,0.0
1001309,0.04709141274238227,0.0332409972299169,0.0,0.0,0.0,0.0
100132,0.007633587786259542,0.05725190839694656,0.0,0.0,0.0,0.0
1001384,0.046620046620046623,0.04428904428904429,0.0,0.002331002331002331,0.0,0.009324009324009324
1001502,0.019138755980861243,0.02631578947368421,0.0,0.0,0.0,0.0
1001566,0.10256410256410256,0.03663003663003663,0.0,0.0,0.0,0.007326007326007326
1001574,0.018404907975460124,0.04294478527607362,0.0,0.0,0.0,0.0
1001604,0.03205128205128205,0.016025641025641024,0.0,0.0,0.0,0.0
1001632,0.01948051948051948,0.04112554112554113,0.0021645021645021645,0.0,0.0,0.0
10017,0.0421455938697318,0.06513409961685823,0.0,0.0,0.0,0.0
100188,0.02027027027027027,0.060810810810810814,0.0,0.0,0.0,0.006756756756756757
1001901,0.060897435897435896,0.057692307692307696,0.0,0.0,0.0,0.0
